product name,product price
"realme Narzo 30 Pro 5G (Sword Black, 128 GB)","₹19,999"
"realme Narzo 30 Pro 5G (Blade Silver, 128 GB)","₹19,999"
"realme Narzo 30 5G (Racing Blue, 128 GB)","₹16,999"
"realme Narzo 30 5G (Racing Silver, 128 GB)","₹16,999"
"realme Narzo 30 (Racing Silver, 128 GB)","₹15,499"
"realme Narzo 30 (Racing Silver, 64 GB)","₹14,499"
"realme Narzo 30 (Racing Silver, 64 GB)","₹13,499"
"realme Narzo 30 (Racing Blue, 64 GB)","₹13,499"
"realme Narzo 50A (Oxygen Green, 128 GB)","₹12,499"
"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499"
"realme Narzo 50A (Oxygen Blue, 64 GB)","₹11,499"
"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,499"
"realme Narzo 30A (Laser Black, 64 GB)","₹9,999"
"realme Narzo 50i (Carbon Black, 64 GB)","₹8,999"
"realme Narzo 30A (Laser Blue, 32 GB)","₹8,999"
"realme Narzo 50i (Mint Green, 32 GB)","₹7,499"
"realme Narzo 50i (Carbon Black, 32 GB)","₹7,499"
"realme Narzo 30 Pro 5G (Sword Black, 64 GB)","₹16,999"
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)","₹16,999"
"realme Narzo 30 (Racing Blue, 128 GB)","₹15,499"
"realme Narzo 30 5G (Racing Blue, 64 GB)","₹14,999"
"realme Narzo 30 5G (Racing Silver, 64 GB)","₹14,999"
"realme Narzo 30 (Racing Blue, 64 GB)","₹14,499"
"realme Narzo 30A (Laser Blue, 64 GB)","₹9,999"
